Model,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,best_params
Logistic Regression,0.9433382089002194,0.002011471995070289,0.9097458138478649,0.003110536403821675,0.9551898438712436,0.006614334758843209,0.9318693750933795,0.007291112832612359,0.9493038569123275,0.003409540177333923,
Random Forest,0.9648127987020549,0.0018508645319175016,0.94256527663231,0.0029461930356060365,0.9532601382867055,0.0027574367411810816,0.9766689308768963,0.004294172113800598,0.979612711963472,0.0013481779242893123,
XGBoost,0.9550882712428599,0.0009601919210885682,0.9290574716787823,0.0014270913226094757,0.9754346131384353,0.0028596112483219812,0.9355926916838794,0.0035491720165672313,0.9815864294209339,0.001344703860498067,
LightGBM,0.9585526358789735,0.0018452376682602282,0.9340602733799331,0.0028230784644147503,0.9717088783784822,0.0026754913592182896,0.9457687763869057,0.004443819104362841,0.9809951750684551,0.0013339083532704354,
Random Forest (Optimized),0.9664617877861978,0.0014036721596467996,0.9450670780835864,,0.9517628075923404,,0.9816332503122916,,0.9790922270496655,0.0017473436788342433,"{'n_estimators': 200, 'min_samples_split': 5, 'max_depth': None}"
